"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
1646,"Mounts - Side Control - Side Control (100 Kilos) - Forearm Brace (Arm Under) - Top - Transition to North South","mounts-side-control-side-control-100-kilos-forearm-brace-arm-under-top-transition-to-north-south","","","","",1,2014,0
1587,"Mounts - Side Control - Side Control (100 Kilos) - Prayer - Bottom - Guard Recovery","mounts-side-control-side-control-100-kilos-prayer-bottom-guard-recovery","","","","",8,2015,0
6,"Mounts - Knee On Belly - Knee On Belly - Normal - Top - Submissions","mounts-knee-on-belly-knee-on-belly-normal-top-submissions","","","","",186,2013,0
7,"Mounts - Knee On Belly - Knee On Belly - Normal - Bottom - Escapes","mounts-knee-on-belly-knee-on-belly-normal-bottom-escapes","","","","",19,2013,0
8,"Mounts - North South - North South - Over Under - Top - Submissions","mounts-north-south-north-south-over-under-top-submissions","","","","",45,2013,0
9,"Mounts - North South - North South - Over Under - Bottom - Escapes","mounts-north-south-north-south-over-under-bottom-escapes","Escapes from the north south position","","","",5,2013,0
10,"Guards - Turtle Guard - Front Turtle - Front Headlock - Top - Submissions","guards-turtle-guard-front-turtle-front-headlock-top-submissions","","","","",138,2013,0
11,"Guards - Turtle Guard - Front Turtle - Front Headlock - Bottom - Reversals","guards-turtle-guard-front-turtle-front-headlock-bottom-reversals","","","","",12,2013,0
12,"Mounts - Back Mount - Back Mount - Normal (Sitting) - Back - Submissions","mounts-back-mount-back-mount-normal-sitting-back-submissions","Attacks from the back mount.","","","",189,2014,0
13,"Mounts - Back Mount - Back Mount - Normal (Sitting) - Front - Escapes","mounts-back-mount-back-mount-normal-sitting-front-escapes","Escapes from the back mount.","","","",51,2013,0
74,"Guards - Half Guard - Half Guard (Bottom Dominant) - Knee Shield - Top - Passes","guards-half-guard-half-guard-bottom-dominant-knee-shield-top-passes","","","","",66,2013,0
75,"Guards - Half Guard - Half Guard (Bottom Dominant) - Knee Shield - Bottom - Submissions","guards-half-guard-half-guard-bottom-dominant-knee-shield-bottom-submissions","","","","",63,2013,0
1532,"Guards - Closed Guard - Bottom Dominant (Sleeve Control) - Same Side Sleeve - Bottom - Back Takes","guards-closed-guard-bottom-dominant-sleeve-control-same-side-sleeve-bottom-back-takes","","","","",1,2014,0
16,"Guards - Half Guard - Half Guard (Bottom Dominant) - Normal - Bottom - Sweeps","guards-half-guard-half-guard-bottom-dominant-normal-bottom-sweeps","","","","",86,2013,0
17,"Guards - Half Guard - Half Guard (Bottom Dominant) - Normal - Top - Passes","guards-half-guard-half-guard-bottom-dominant-normal-top-passes","","","","",21,2013,0
1252,"Guards - Spider Guard - Spider Guard - Butterfly - Top - Passes","guards-spider-guard-spider-guard-butterfly-top-passes","","","","",2,2013,0
1249,"Guards - Butterfly Guard - Butterfly Guard - Over Under - Bottom - Sweeps","guards-butterfly-guard-butterfly-guard-over-under-bottom-sweeps","","","","",7,2013,0
1150,"Guards - Miscellaneous Guards - Miscellaneous Guards - K Control - Bottom - Control","guards-miscellaneous-guards-miscellaneous-guards-k-control-bottom-control","","","","",2,2014,0
408,"Guards - X Guard - X Guard - Single Leg - Top - Passes","guards-x-guard-x-guard-single-leg-top-passes","","","","",2,2013,0
1152,"Guards - Turtle Guard - One Hook In - Leg Ride - Bottom - Submissions","guards-turtle-guard-one-hook-in-leg-ride-bottom-submissions","","","","",1,2014,0
25,"Guards - Reverse DLR Guard - Reverse DLR Guard (Bottom Dominant) - Inverting - Bottom (Standing) - Sweeps","guards-reverse-dlr-guard-reverse-dlr-guard-bottom-dominant-inverting-bottom-standing-sweeps","","","","",4,2013,0
26,"Guards - Reverse DLR Guard - Reverse DLR Guard (Bottom Dominant) - Inverting - Top - Passes","guards-reverse-dlr-guard-reverse-dlr-guard-bottom-dominant-inverting-top-passes","","","","",2,2013,0
1135,"Guards - Spider Guard - Spider Guard - Deep - Bottom - Sweeps","guards-spider-guard-spider-guard-deep-bottom-sweeps","","","","",19,2014,0
27,"Guards - Inverted Guards - Inverted Guards - Tornado - Bottom - Sweeps","guards-inverted-guards-inverted-guards-tornado-bottom-sweeps","","","","",8,2013,0
29,"Guards - X Guard - X Guard - Normal - Bottom (Standing) - Sweeps","guards-x-guard-x-guard-normal-bottom-standing-sweeps","","","","",40,2013,0
30,"Guards - X Guard - X Guard - Normal - Top - Passes","guards-x-guard-x-guard-normal-top-passes","","","","",15,2013,0
2284,"Stand Up (Gi) - Zone 2 - Back Collar - Back Collar - Defensive - Control","stand-up-gi-zone-2-back-collar-back-collar-defensive-control","","","","",2,2014,0
2285,"Stand Up (Gi) - Zone 2 - Back Collar - Sleeve - Offensive - Take Downs","stand-up-gi-zone-2-back-collar-sleeve-offensive-take-downs","","","","",1,2013,0
34,"Miscellaneous - Miscellaneous - Miscellaneous - Real Street Fights - Real Street Fights - Real Street Fights","miscellaneous-miscellaneous-miscellaneous-real-street-fights-real-street-fights-real-street-fights","","","","",18,2013,0
957,"Mounts - Full Mount - Full Mount - Low - Bottom - Guard Recovery","mounts-full-mount-full-mount-low-bottom-guard-recovery","","","","",8,2014,0
96,"Mounts - Full Mount - Full Mount - S - Top - Submissions","mounts-full-mount-full-mount-s-top-submissions","","","","",68,2013,0
507,"Miscellaneous - Miscellaneous - Miscellaneous - Gym Stuff - Gym Stuff - Rule Explanations","miscellaneous-miscellaneous-miscellaneous-gym-stuff-gym-stuff-rule-explanations","","","","",22,2013,0
48,"Guards - Koala Guard - Koala Guard (Normal) - No Grips (Shin) - Top - Passes","guards-koala-guard-koala-guard-normal-no-grips-shin-top-passes","","","","",1,2014,0
49,"Guards - Koala Guard - Koala Guard (Normal) - No Grips (Shin) - Bottom (Standing) - Back Take","guards-koala-guard-koala-guard-normal-no-grips-shin-bottom-standing-back-take","","","","",2,2013,0
50,"Guards - Closed Guard - Bottom Dominant (Specialty Guards) - Rubber - Bottom - Submissions","guards-closed-guard-bottom-dominant-specialty-guards-rubber-bottom-submissions","","","","",57,2013,0
51,"Guards - Half Guard - Half Guard (Bottom Dominant) - Deep - Bottom - Sweeps","guards-half-guard-half-guard-bottom-dominant-deep-bottom-sweeps","","","","",42,2013,0
52,"Guards - Half Guard - Half Guard (Bottom Dominant) - Deep - Top - Passes","guards-half-guard-half-guard-bottom-dominant-deep-top-passes","","","","",9,2013,0
178,"Mounts - Back Mount - Back Mount - Normal (Sitting) - Front - Submissions","mounts-back-mount-back-mount-normal-sitting-front-submissions","","","","",15,2013,0
55,"Guards - Half Guard - Half Guard (Top Dominant) - Quarter - Top - Passes","guards-half-guard-half-guard-top-dominant-quarter-top-passes","","","","",7,2013,0
56,"Guards - Half Guard - Half Guard (Top Dominant) - Quarter - Bottom - Escapes","guards-half-guard-half-guard-top-dominant-quarter-bottom-escapes","","","","",2,2014,0
61,"Guards - Half Guard - Half Guard (Bottom Dominant) - Lock Down - Top - Escapes","guards-half-guard-half-guard-bottom-dominant-lock-down-top-escapes","","","","",3,2014,0
62,"Guards - Half Guard - Half Guard (Bottom Dominant) - Lock Down - Bottom - Sweeps","guards-half-guard-half-guard-bottom-dominant-lock-down-bottom-sweeps","","","","",26,2013,0
68,"Guards - Koala Guard - Koala Guard (Normal) - No Grips - Bottom (Standing) - Sweeps","guards-koala-guard-koala-guard-normal-no-grips-bottom-standing-sweeps","","","","",5,2014,0
154,"Mounts - Knee On Belly - Knee On Belly - Normal - Top - Entry","mounts-knee-on-belly-knee-on-belly-normal-top-entry","","","","",11,2013,0
150,"Mounts - Side Control - Side Control (Variants) - Twister (Over Arm) - Top - Submissions","mounts-side-control-side-control-variants-twister-over-arm-top-submissions","","","","",44,2013,0
153,"Mounts - Side Control - Side Control (Variants) - Scarf Hold - Top - Control","mounts-side-control-side-control-variants-scarf-hold-top-control","","","","",1,2013,0
67,"Miscellaneous - MMA - MMA - Ground and Pound - Techniques - Grappling for MMA","miscellaneous-mma-mma-ground-and-pound-techniques-grappling-for-mma","","","","",209,2013,0
1531,"Guards - Closed Guard - Top Dominant (Low Posture) - Neck Clinch - Top - Guard Breaks / Passes","guards-closed-guard-top-dominant-low-posture-neck-clinch-top-guard-breaks-passes","","","","",4,2013,0
1530,"Guards - Closed Guard - Bottom Dominant (Sleeve Control) - Tricep Grip - Bottom - Submissions","guards-closed-guard-bottom-dominant-sleeve-control-tricep-grip-bottom-submissions","","","","",2,2013,0
1545,"Guards - Closed Guard - Top Dominant (Low Posture) - Bicep Control - Bottom - Sweeps","guards-closed-guard-top-dominant-low-posture-bicep-control-bottom-sweeps","","","","",1,2013,0
76,"Guards - Half Guard - Half Guard (Top Dominant) - Reverse (Under Arm) - Bottom - Back Takes","guards-half-guard-half-guard-top-dominant-reverse-under-arm-bottom-back-takes","","","","",13,2013,0
77,"Guards - Half Guard - Half Guard (Top Dominant) - Reverse (Under Arm) - Top - Back Takes","guards-half-guard-half-guard-top-dominant-reverse-under-arm-top-back-takes","","","","",5,2013,0
