"clip_id","video_id","type","clip","filesize"
157,157,"Embed","<iframe width=""640"" height=""480"" src=""http://www.youtube.com/embed/xqSdVL82QVk?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
2,2,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/ws0BLjn2htg"" frameborder=""0"" allowfullscreen></iframe>",0
3,3,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/cgju33YrySE"" frameborder=""0"" allowfullscreen></iframe>",0
5,5,"Embed","<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/7qRm5JtTL_4"" frameborder=""0"" allowfullscreen></iframe>",0
6,6,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/I97mmUR2lBo"" frameborder=""0"" allowfullscreen></iframe>",0
2061,2061,"Embed","<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/Mq4y3jfyXHM?feature=player_detailpage"" frameborder=""0"" allowfullscreen></iframe>",0
8,8,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/rcPBk3Y2HFw?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
2744,2744,"Embed","<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/amt5MJqafw0?feature=player_detailpage"" frameborder=""0"" allowfullscreen></iframe>",0
11,11,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/sC-pjlHsO8A?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
12,12,"Embed","<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/08mSN2ol5ek?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
13,13,"Embed","<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/cTKBRCXKIAU?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
15,15,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/euZvW0_IYO4?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
2735,2735,"Embed","<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/3-ROkIWsaGo?feature=player_detailpage"" frameborder=""0"" allowfullscreen></iframe>",0
2736,2736,"Embed","<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/iDYeWg8xUXQ?feature=player_detailpage"" frameborder=""0"" allowfullscreen></iframe>",0
18,18,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/9Im8IKc8NeY?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
2742,2742,"Embed","<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/4f493YBhtMw?feature=player_detailpage"" frameborder=""0"" allowfullscreen></iframe>",0
20,20,"Embed","<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/VCCcJQ4Lzic?rel=0"" frameborder=""0"" allowfullscreen></iframe>",0
